epoch:0, lr:2.4968057921635433e-05, train_loss:1.015291, test_loss:0.975971
epoch:110, lr:0.00043272505567452485, train_loss:0.626613, test_loss:0.668925

epoch:111, lr:0.0004313100613438341, train_loss:0.626202, test_loss:0.669109

epoch:112, lr:0.00042988270635775373, train_loss:0.626183, test_loss:0.668788

epoch:113, lr:0.0004284430880249659, train_loss:0.626162, test_loss:0.667876

epoch:114, lr:0.0004269913044901954, train_loss:0.625910, test_loss:0.668231

epoch:115, lr:0.0004255274547275194, train_loss:0.625296, test_loss:0.667851

epoch:116, lr:0.0004240516385336194, train_loss:0.625545, test_loss:0.667306

epoch:117, lr:0.0004225639565209781, train_loss:0.625198, test_loss:0.667365

epoch:118, lr:0.00042106451011101974, train_loss:0.625368, test_loss:0.667645

epoch:119, lr:0.00041955340152719645, train_loss:0.625004, test_loss:0.666815

epoch:120, lr:0.0004180307337880187, train_loss:0.624749, test_loss:0.667633

epoch:121, lr:0.0004164966107000323, train_loss:0.623991, test_loss:0.666951

epoch:122, lr:0.0004149511368507416, train_loss:0.624000, test_loss:0.666159

epoch:123, lr:0.0004133944176014791, train_loss:0.624370, test_loss:0.666476

epoch:124, lr:0.0004118265590802227, train_loss:0.623770, test_loss:0.666605

epoch:125, lr:0.00041024766817436044, train_loss:0.623455, test_loss:0.666648

epoch:126, lr:0.0004086578525234034, train_loss:0.623393, test_loss:0.665990

epoch:127, lr:0.00040705722051164806, train_loss:0.623070, test_loss:0.665841

epoch:128, lr:0.0004054458812607863, train_loss:0.623217, test_loss:0.665951

epoch:129, lr:0.00040382394462246726, train_loss:0.623080, test_loss:0.665354

epoch:130, lr:0.0004021915211708073, train_loss:0.622467, test_loss:0.665455

epoch:131, lr:0.0004005487221948523, train_loss:0.623123, test_loss:0.664970

epoch:132, lr:0.0003988956596909905, train_loss:0.622329, test_loss:0.664854

epoch:133, lr:0.0003972324463553173, train_loss:0.622011, test_loss:0.664979

epoch:134, lr:0.0003955591955759519, train_loss:0.621828, test_loss:0.664545

epoch:135, lr:0.00039387602142530764, train_loss:0.621916, test_loss:0.664806

epoch:136, lr:0.0003921830386523153, train_loss:0.621895, test_loss:0.664168

epoch:137, lr:0.0003904803626745995, train_loss:0.621644, test_loss:0.664571

epoch:138, lr:0.00038876810957061094, train_loss:0.621836, test_loss:0.663716

epoch:139, lr:0.0003870463960717124, train_loss:0.621304, test_loss:0.664008

epoch:140, lr:0.000385315339554221, train_loss:0.621064, test_loss:0.664021

epoch:141, lr:0.0003835750580314058, train_loss:0.621196, test_loss:0.663722

epoch:142, lr:0.0003818256701454428, train_loss:0.620851, test_loss:0.663825

epoch:143, lr:0.00038006729515932595, train_loss:0.620664, test_loss:0.663309

epoch:144, lr:0.0003783000529487376, train_loss:0.620342, test_loss:0.663143

epoch:145, lr:0.00037652406399387475, train_loss:0.620302, test_loss:0.663115

epoch:146, lr:0.0003747394493712363, train_loss:0.620284, test_loss:0.662907

epoch:147, lr:0.00037294633074536884, train_loss:0.619675, test_loss:0.662498

epoch:148, lr:0.0003711448303605713, train_loss:0.619862, test_loss:0.662480

epoch:149, lr:0.0003693350710325623, train_loss:0.619624, test_loss:0.662619

epoch:150, lr:0.00036751717614010655, train_loss:0.619690, test_loss:0.661883

epoch:151, lr:0.00036569126961660364, train_loss:0.619398, test_loss:0.662306

epoch:152, lr:0.0003638574759416392, train_loss:0.619688, test_loss:0.661968

epoch:153, lr:0.0003620159201324987, train_loss:0.619149, test_loss:0.661812

epoch:154, lr:0.0003601667277356441, train_loss:0.618928, test_loss:0.661617

epoch:155, lr:0.0003583100248181551, train_loss:0.618760, test_loss:0.661200

epoch:156, lr:0.00035644593795913483, train_loss:0.618762, test_loss:0.661441

epoch:157, lr:0.00035457459424108, train_loss:0.618298, test_loss:0.661822

epoch:158, lr:0.0003526961212412173, train_loss:0.618144, test_loss:0.661236

epoch:159, lr:0.00035081064702280606, train_loss:0.617978, test_loss:0.661301

epoch:160, lr:0.0003489183001264078, train_loss:0.618278, test_loss:0.660995

epoch:161, lr:0.0003470192095611225, train_loss:0.617829, test_loss:0.660419

epoch:162, lr:0.00034511350479579417, train_loss:0.617539, test_loss:0.660816

epoch:163, lr:0.000343201315750184, train_loss:0.618010, test_loss:0.660137

epoch:164, lr:0.0003412827727861133, train_loss:0.617471, test_loss:0.660273

epoch:165, lr:0.0003393580066985764, train_loss:0.617620, test_loss:0.659880

epoch:166, lr:0.0003374271487068236, train_loss:0.617164, test_loss:0.660212

epoch:167, lr:0.0003354903304454153, train_loss:0.617012, test_loss:0.659994

epoch:168, lr:0.0003335476839552483, train_loss:0.616920, test_loss:0.660277

epoch:169, lr:0.0003315993416745537, train_loss:0.616934, test_loss:0.659653

epoch:170, lr:0.00032964543642986815, train_loss:0.616674, test_loss:0.659911

epoch:171, lr:0.00032768610142697857, train_loss:0.616615, test_loss:0.659670

epoch:172, lr:0.0003257214702418408, train_loss:0.616549, test_loss:0.658988

epoch:173, lr:0.0003237516768114735, train_loss:0.616510, test_loss:0.659352

epoch:174, lr:0.0003217768554248267, train_loss:0.616196, test_loss:0.659205

epoch:175, lr:0.00031979714071362703, train_loss:0.616313, test_loss:0.658980

epoch:176, lr:0.0003178126676431994, train_loss:0.616105, test_loss:0.658667

epoch:177, lr:0.0003158235715032654, train_loss:0.615712, test_loss:0.658455

epoch:178, lr:0.0003138299878987206, train_loss:0.615527, test_loss:0.658328

epoch:179, lr:0.0003118320527403896, train_loss:0.615600, test_loss:0.658275

epoch:180, lr:0.00030982990223576013, train_loss:0.615330, test_loss:0.658510

epoch:181, lr:0.00030782367287969764, train_loss:0.615367, test_loss:0.658234

epoch:182, lr:0.0003058135014451398, train_loss:0.615480, test_loss:0.658010

epoch:183, lr:0.00030379952497377197, train_loss:0.614833, test_loss:0.657552

epoch:184, lr:0.00030178188076668446, train_loss:0.614640, test_loss:0.657928

epoch:185, lr:0.0002997607063750123, train_loss:0.614634, test_loss:0.657806

epoch:186, lr:0.000297736139590558, train_loss:0.614374, test_loss:0.657360

epoch:187, lr:0.0002957083184363974, train_loss:0.614461, test_loss:0.657142

epoch:188, lr:0.00029367738115746984, train_loss:0.614219, test_loss:0.656849

epoch:189, lr:0.0002916434662111542, train_loss:0.614080, test_loss:0.657190

epoch:190, lr:0.000289606712257829, train_loss:0.614188, test_loss:0.657200

epoch:191, lr:0.0002875672581514196, train_loss:0.614050, test_loss:0.656760

epoch:192, lr:0.000285525242929932, train_loss:0.613681, test_loss:0.656728

epoch:193, lr:0.00028348080580597394, train_loss:0.613770, test_loss:0.656714

epoch:194, lr:0.00028143408615726427, train_loss:0.613528, test_loss:0.656922

epoch:195, lr:0.000279385223517131, train_loss:0.613552, test_loss:0.656527

epoch:196, lr:0.00027733435756499867, train_loss:0.613295, test_loss:0.655930

epoch:197, lr:0.0002752816281168659, train_loss:0.612961, test_loss:0.655991

epoch:198, lr:0.0002732271751157735, train_loss:0.613174, test_loss:0.655815

epoch:199, lr:0.00027117113862226407, train_loss:0.612787, test_loss:0.655462

epoch:200, lr:0.0002691136588048333, train_loss:0.613186, test_loss:0.655190

epoch:201, lr:0.0002670548759303742, train_loss:0.612351, test_loss:0.655381

epoch:202, lr:0.0002649949303546149, train_loss:0.612526, test_loss:0.655836

epoch:203, lr:0.0002629339625125493, train_loss:0.612578, test_loss:0.656126

epoch:204, lr:0.0002608721129088635, train_loss:0.612204, test_loss:0.655344

epoch:205, lr:0.00025880952210835707, train_loss:0.612297, test_loss:0.655800

epoch:206, lr:0.0002567463307263599, train_loss:0.611711, test_loss:0.654957

epoch:207, lr:0.0002546826794191461, train_loss:0.611917, test_loss:0.655336

epoch:208, lr:0.0002526187088743445, train_loss:0.611965, test_loss:0.654863

epoch:209, lr:0.00025055455980134823, train_loss:0.611768, test_loss:0.654668

epoch:210, lr:0.00024849037292172077, train_loss:0.611618, test_loss:0.654240

epoch:211, lr:0.0002464262889596034, train_loss:0.610940, test_loss:0.654573

epoch:212, lr:0.0002443624486321213, train_loss:0.611068, test_loss:0.654486

epoch:213, lr:0.00024229899263978954, train_loss:0.611103, test_loss:0.654125

epoch:214, lr:0.00024023606165692182, train_loss:0.610722, test_loss:0.653960

epoch:215, lr:0.00023817379632203967, train_loss:0.610780, test_loss:0.654226

epoch:216, lr:0.00023611233722828476, train_loss:0.610416, test_loss:0.653875

epoch:217, lr:0.00023405182491383384, train_loss:0.610448, test_loss:0.653482

epoch:218, lr:0.00023199239985231783, train_loss:0.610656, test_loss:0.653679

epoch:219, lr:0.00022993420244324524, train_loss:0.610388, test_loss:0.653382

epoch:220, lr:0.00022787737300243032, train_loss:0.610134, test_loss:0.652977

